"AI_CD","PROC_CD","SER","LOC","ITM","TAG_SN","DP","TAG_TY"
"G","G","0","0","FRI-4911","771-358-FRI-4911","금산(정) 정수지 유출 유량(순시)","0"
"C","C","0","0","FRI-7612","771-358-FRI-7612","금산(정) 회수조 유량","0"
"D","D","0","0","FRI-7612","771-358-FRI-7612","금산(정) 회수조 유량","0"
"G","G","0","0","f_tb","771-358-TBI-6011","금산(정) 여과수 통합 탁도","0"
"G","G","0","0","g_b_residual_cl","771-358-CLI-6011","금산(정) 원수 잔류염소","0"
"G","G","0","0","g_d_obj_residual_cl","771-358-SWI-6906","전차염 목표 혼화지 잔류염소","3"
"G","G","0","0","g_d_residual_cl_holding","771-358-SWI-6914","혼화지 잔류염소 홀딩 범위","3"
"G","G","0","0","g_f_out_residual_cl","771-358-CLI-6022","금산(정) 여과수 통합 잔류염소","0"
"G","G","0","0","g_h_in_obj_residual_cl","771-358-SWI-6912","후차염 정수지 유입 목표 잔류염소","3"
"G","G","0","0","g_h_in_residual_cl_holding","771-358-SWI-6915","정수지 유입 잔류염소 홀딩 범위","3"
"G","G","0","0","g_post_calib_cycle","771-358-SWI-6910","후차염 보정 주기","3"
"G","G","0","0","g_post_chg_limit_for_onetime","771-358-SWI-6911","후차염 1회 변경 제한 주입률값","3"
"G","G","0","0","g_post_chol_rate_holding_time","771-358-SWI-6913","주입률 변경 후 잔류염소 미변동 시 대기시간","3"
"G","G","0","0","g_post_operation_mode","771-358-SWI-6907","소독 후차염 운전모드","3"
"UI","G","0","0","g_post_operation_mode_a","771-358-SWI-6014","소독 후차염 AI 모드 경보","2"
"G","G","0","0","g_post_set_max","771-358-SWI-6908","후차염 주입률 상한값","3"
"G","G","0","0","g_post_set_min","771-358-SWI-6909","후차염 주입률 하한값","3"
"G","G","0","0","g_pre_calib_cycle","771-358-SWI-6904","전차염 보정 주기","3"
"G","G","0","0","g_pre_chg_limit_for_onetime","771-358-SWI-6905","전차염 1회 변경 제한 주입률값","3"
"G","G","0","0","g_pre_chol_rate_holding_time","771-358-SWI-6916","주입률 변경 후 잔류염소 미변동 시 대기시간(전차염)","3"
"G","G","0","0","g_pre_operation_mode","771-358-SWI-6901","소독 전차염 운전모드","3"
"UI","G","0","0","g_pre_operation_mode_a","771-358-SWI-6012","소독 전차염 AI 모드 경보","2"
"G","G","0","0","g_pre_set_max","771-358-SWI-6902","전차염 주입률 상한값","3"
"G","G","0","0","g_pre_set_min","771-358-SWI-6903","전차염 주입률 하한값","3"
"EMS","H","1","0","h1_operation_mode","771-445-EMS-1001","도수(가) AI 운영 ON/OFF 구분","2"
"EMS","H","1","1","h1_pm1","771-445-XXB-8112","도수(가) 펌프 1 ON/OFF 상태","2"
"EMS","H","1","2","h1_pm2","771-445-XXB-8212","도수(가) 펌프 2 ON/OFF 상태","2"
"EMS","H","1","3","h1_pm3","771-445-XXB-8312","도수(가) 펌프 3 ON/OFF 상태","2"
"EMS","H","2","0","h2_operation_mode","771-446-EMS-1001","송수(가) AI 운영 ON/OFF 구분","2"
"EMS","H","2","1","h2_pm1","771-446-XXB-8112","송수(가) 펌프 1 ON/OFF 상태","2"
"EMS","H","3","0","h3_operation_mode","882-602-EMS-1001","용담(가) AI 운영 ON/OFF 구분","2"
"EMS","H","3","1","h3_pm1","882-602-PMB-8002","용담(가) 펌프 1 ON/OFF 상태","2"
"EMS","H","3","2","h3_pm2","882-602-PMB-8004","용담(가) 펌프 2 ON/OFF 상태","2"
"EMS","H","3","3","h3_pm3","882-602-PMB-8006","용담(가) 펌프 3 ON/OFF 상태","2"
"EMS","H","4","0","h4_operation_mode","882-603-EMS-1001","운봉(가) AI 운영 ON/OFF 구분","2"
"EMS","H","4","1","h4_pm1","882-603-PMB-8002","운봉(가) 펌프 1 ON/OFF 상태","2"
"EMS","H","4","2","h4_pm2","882-603-PMB-8004","운봉(가) 펌프 2 ON/OFF 상태","2"
"EMS","H","4","3","h4_pm3","882-603-PMB-8006","운봉(가) 펌프 3 ON/OFF 상태","2"
"G","G","0","0","h_in_fr","771-358-FRI-4011","금산(정) 정수지 유입유량(순시)","0"
"C","C","0","0","h_out_fr","771-358-FRI-4911","금산(정) 정수지 유출 유량(순시)","0"
"G","G","0","0","h_ph","771-358-PHI-4021","금산(정) 정수지 유출 pH","0"
"G","G","0","0","h_tb","771-358-TBI-4021","금산(정) 정수지 유출 탁도","0"
"D","D","0","0","LEI-2111","771-358-LEI-2111","금산광역(정) 응집기 1지 수위 (F_CV)","0"
"D","D","0","0","LEI-2121","771-358-LEI-2121","금산광역(정) 응집기 2지 수위 (F_CV)","0"
"C","C","0","0","MNI-4011","771-358-MNI-4011","금산(정) 원수 망간","0"
"G","G","0","0","mnr","771-445-MNI-3001","도수(가) 취수 망간","0"
"C","C","0","0","OOI-6001","771-358-OOI-6001","금산(정) 원수 TOC","0"
"C","C","0","0","PHI-6004","771-358-PHI-6004","금산(정) 혼화수 pH","0"
"G","G","0","0","PMB-6014","771-358-PMB-6014","금산광역(정) 역세펌프A RUN","0"
"G","G","0","0","PMB-6016","771-358-PMB-6016","금산광역(정) 역세펌프B RUN","0"
"C","C","0","0","TBI-6011","771-358-TBI-6011","금산(정) 여과수 통합 탁도","0"
